user_id,event_type,event_time,event_params
78,funnel_start,2024-01-01T00:10:44,"{""funnel_type"": ""yoga""}"
78,profile_start,2024-01-01T00:10:59,{}
185,funnel_start,2024-01-01T00:27:45,"{""funnel_type"": ""fasting""}"
185,profile_start,2024-01-01T00:27:55,{}
185,email_submit,2024-01-01T00:28:25,{}
185,paywall_show,2024-01-01T00:37:35,{}
916,funnel_start,2024-01-01T02:39:57,"{""funnel_type"": ""activity""}"
916,profile_start,2024-01-01T02:40:07,{}
916,email_submit,2024-01-01T02:40:27,{}
916,paywall_show,2024-01-01T02:42:47,{}
1172,funnel_start,2024-01-01T03:36:59,"{""funnel_type"": ""activity""}"
1238,funnel_start,2024-01-01T03:54:55,"{""funnel_type"": ""fasting""}"
1238,profile_start,2024-01-01T03:55:01,{}
1238,email_submit,2024-01-01T03:55:15,{}
1238,paywall_show,2024-01-01T04:03:55,{}
1382,funnel_start,2024-01-01T04:33:09,"{""funnel_type"": ""activity""}"
1382,profile_start,2024-01-01T04:33:13,{}
1382,email_submit,2024-01-01T04:33:30,{}
1419,funnel_start,2024-01-01T04:42:59,"{""funnel_type"": ""activity""}"
1419,profile_start,2024-01-01T04:43:10,{}
1419,email_submit,2024-01-01T04:43:30,{}
1419,paywall_show,2024-01-01T05:14:37,{}
1552,funnel_start,2024-01-01T05:23:27,"{""funnel_type"": ""fasting""}"
1687,funnel_start,2024-01-01T06:05:35,"{""funnel_type"": ""activity""}"
1687,profile_start,2024-01-01T06:05:42,{}
1687,email_submit,2024-01-01T06:05:48,{}
1710,funnel_start,2024-01-01T06:09:14,"{""funnel_type"": ""activity""}"
1710,profile_start,2024-01-01T06:09:17,{}
1712,funnel_start,2024-01-01T06:09:30,"{""funnel_type"": ""fasting""}"
1712,profile_start,2024-01-01T06:09:37,{}
1710,email_submit,2024-01-01T06:09:43,{}
1712,email_submit,2024-01-01T06:09:59,{}
1710,paywall_show,2024-01-01T06:13:40,{}
1929,funnel_start,2024-01-01T07:02:50,"{""funnel_type"": ""activity""}"
2085,funnel_start,2024-01-01T07:37:11,"{""funnel_type"": ""activity""}"
2085,profile_start,2024-01-01T07:37:17,{}
2334,funnel_start,2024-01-01T08:26:38,"{""funnel_type"": ""activity""}"
2334,profile_start,2024-01-01T08:26:48,{}
2334,email_submit,2024-01-01T08:27:02,{}
2362,funnel_start,2024-01-01T08:30:38,"{""funnel_type"": ""activity""}"
2334,paywall_show,2024-01-01T08:36:33,{}
2722,funnel_start,2024-01-01T09:34:12,"{""funnel_type"": ""fasting""}"
3186,funnel_start,2024-01-01T10:57:37,"{""funnel_type"": ""fasting""}"
3221,funnel_start,2024-01-01T11:05:12,"{""funnel_type"": ""yoga""}"
3381,funnel_start,2024-01-01T11:34:34,"{""funnel_type"": ""activity""}"
3381,profile_start,2024-01-01T11:34:43,{}
3519,funnel_start,2024-01-01T11:58:49,"{""funnel_type"": ""fasting""}"
3519,profile_start,2024-01-01T11:59:00,{}
3519,email_submit,2024-01-01T11:59:27,{}
3603,funnel_start,2024-01-01T12:11:04,"{""funnel_type"": ""activity""}"
3726,funnel_start,2024-01-01T12:32:21,"{""funnel_type"": ""fasting""}"
3726,profile_start,2024-01-01T12:32:27,{}
3726,email_submit,2024-01-01T12:32:39,{}
3757,funnel_start,2024-01-01T12:37:05,"{""funnel_type"": ""activity""}"
3726,paywall_show,2024-01-01T13:01:49,{}
3918,funnel_start,2024-01-01T13:07:00,"{""funnel_type"": ""activity""}"
3918,profile_start,2024-01-01T13:07:04,{}
3918,email_submit,2024-01-01T13:07:43,{}
3918,paywall_show,2024-01-01T13:12:21,{}
3918,payment_done,2024-01-01T13:13:22,{}
4416,funnel_start,2024-01-01T14:30:54,"{""funnel_type"": ""fasting""}"
4416,profile_start,2024-01-01T14:31:04,{}
4416,email_submit,2024-01-01T14:31:14,{}
4416,paywall_show,2024-01-01T14:43:21,{}
4729,funnel_start,2024-01-01T15:23:40,"{""funnel_type"": ""activity""}"
4729,profile_start,2024-01-01T15:23:45,{}
4729,email_submit,2024-01-01T15:24:08,{}
4729,paywall_show,2024-01-01T15:31:53,{}
4898,funnel_start,2024-01-01T15:53:48,"{""funnel_type"": ""fasting""}"
4898,profile_start,2024-01-01T15:53:52,{}
4898,email_submit,2024-01-01T15:55:04,{}
4898,paywall_show,2024-01-01T16:02:40,{}
5464,funnel_start,2024-01-01T17:28:46,"{""funnel_type"": ""fasting""}"
5708,funnel_start,2024-01-01T18:11:30,"{""funnel_type"": ""activity""}"
5791,funnel_start,2024-01-01T18:25:14,"{""funnel_type"": ""activity""}"
5791,profile_start,2024-01-01T18:25:20,{}
5791,email_submit,2024-01-01T18:25:42,{}
5791,paywall_show,2024-01-01T18:30:33,{}
5896,funnel_start,2024-01-01T18:38:40,"{""funnel_type"": ""fasting""}"
5896,profile_start,2024-01-01T18:38:47,{}
5896,email_submit,2024-01-01T18:39:05,{}
5896,paywall_show,2024-01-01T18:45:59,{}
6298,funnel_start,2024-01-01T19:41:43,"{""funnel_type"": ""fasting""}"
6298,profile_start,2024-01-01T19:41:47,{}
6298,email_submit,2024-01-01T19:42:14,{}
6298,paywall_show,2024-01-01T19:47:49,{}
6424,funnel_start,2024-01-01T20:01:36,"{""funnel_type"": ""activity""}"
6505,funnel_start,2024-01-01T20:10:33,"{""funnel_type"": ""fasting""}"
6709,funnel_start,2024-01-01T20:34:36,"{""funnel_type"": ""activity""}"
6990,funnel_start,2024-01-01T21:08:07,"{""funnel_type"": ""fasting""}"
6990,profile_start,2024-01-01T21:08:14,{}
6990,email_submit,2024-01-01T21:08:36,{}
